,MAE,MSE,RMSE,R2
Lasso Regression,18014.414327381517,804106306.6305358,28356.76826844935,0.8951666089667627
Random Forest,17577.43479452055,869844786.3960891,29493.13117314079,0.886596115614869
Ridge Regression,19014.45821142718,890449833.7698481,29840.40605906441,0.883909783010859
Linear Regression,3196912662629.134,2.2228525776759556e+27,47147137534276.195,-2.8979896260385043e+17
