,MAE,MSE,RMSE,R2
Lasso Regression,17913.198846008097,797191102.798965,28234.572828342294,0.896068161735808
Random Forest,18168.504897260274,893441179.4944913,29890.48643790347,0.8835197936357213
Ridge Regression,19013.655095383805,939230520.3428559,30646.86803480669,0.8775501204286731
